anexo,respondio,opcion,timestamp
1001,si,confirma,2026-07-12 21:32:03
1001,si,reagenda,2026-07-12 21:32:49
1002,si,reagenda,2026-07-12 21:54:12
1001,si,confirma,2026-07-12 21:55:22
1001,si,Cancelada,2026-07-12 22:38:25
1001,si,Confirmada,2026-07-12 22:44:17
1002,si,Por Reprogramar,2026-07-12 22:46:44
1002,si,Cancelada,2026-07-12 22:49:33
1001,si,Por Reprogramar,2026-07-12 22:50:43
